Feature,Ridge_Coefficient,Lasso_Coefficient,Abs_Ridge,Abs_Lasso,Ridge_Influence_Score,Lasso_Influence_Score
OverallQual,19247.646988450015,25770.126299198393,19247.646988450015,25770.126299198393,100.0,100.0
GrLivArea,8361.029601156342,17928.13250383224,8361.029601156342,17928.13250383224,43.43922977272789,69.56943980670329
GarageCars,8289.951218434828,10804.125448893861,8289.951218434828,10804.125448893861,43.069946281794344,41.9249999920642
TotalSF,7108.810516320172,6396.800397698452,7108.810516320172,6396.800397698452,36.93340032984798,24.822541897660123
TotRmsAbvGrd,6927.712810242439,4542.05303633101,6927.712810242439,4542.05303633101,35.9925180173949,17.625264942812077
YearBuilt,6523.774568121802,7150.165180672727,6523.774568121802,7150.165180672727,33.89388101328199,27.74594543176585
2ndFlrSF,6057.1044214955855,0.0,6057.1044214955855,0.0,31.469324147155692,0.0
MSSubClass,-5663.295682501888,-6422.599512238865,5663.295682501888,6422.599512238865,29.423314371363297,24.922654385433283
YearRemodAdd,5036.844459056784,4379.096508888203,5036.844459056784,4379.096508888203,26.168624466560804,16.99291830410788
BsmtFullBath,4837.608625942193,4892.154300586687,4837.608625942193,4892.154300586687,25.133506598729234,18.98381965143439
BedroomAbvGr,-4448.654612045947,-3476.9736799489106,4448.654612045947,3476.9736799489106,23.112719257140693,13.492264801422667
1stFlrSF,4392.84459431533,0.0,4392.84459431533,0.0,22.822761644326476,0.0
Fireplaces,4348.0159764916925,3162.5597543275153,4348.0159764916925,3162.5597543275153,22.58985723865789,12.272193460013776
MasVnrArea,4153.391422191497,3353.9399535593525,4153.391422191497,3353.9399535593525,21.578696994410972,13.014837081584968
OverallCond,4046.54852147251,2919.0677484291273,4046.54852147251,2919.0677484291273,21.02360108693147,11.327331944507884
KitchenAbvGr,-3929.905149992594,-1921.7414510025976,3929.905149992594,1921.7414510025976,20.4175874191314,7.457244984718509
GarageArea,3900.164942771383,537.6360918499668,3900.164942771383,537.6360918499668,20.263073949308012,2.0862765110572643
LotArea,3881.375215053632,3826.855201210976,3881.375215053632,3826.855201210976,20.16545304152107,14.849966805673025
BsmtFinSF1,3663.0192255352636,4057.4985570466138,3663.0192255352636,4057.4985570466138,19.03099754340539,15.744969620784616
HasGarage,-3381.76313976561,-3163.6604870310907,3381.76313976561,3163.6604870310907,17.569748353109933,12.276464811619878
TotalBsmtSF,3352.51233875851,0.0,3352.51233875851,0.0,17.417777564032946,0.0
FullBath,3327.355254616571,840.0255580664575,3327.355254616571,840.0255580664575,17.28707543635451,3.2596873927334515
ScreenPorch,3056.825611670358,2353.845388077002,3056.825611670358,2353.845388077002,15.88155483890927,9.13400796235221
WoodDeckSF,2994.467986674796,2611.3786052357977,2994.467986674796,2611.3786052357977,15.557579523729286,10.133355866855133
GarageYrBlt,2167.4555874029274,717.1137648044863,2167.4555874029274,717.1137648044863,11.260886012215197,2.782732829783581
HasBasement,-1796.5683205633152,-371.7395309230844,1796.5683205633152,371.7395309230844,9.33396337558241,1.4425211836646983
LotFrontage,-1688.3537479961544,-822.8373195784939,1688.3537479961544,822.8373195784939,8.771741028964678,3.192989083658814
3SsnPorch,1137.9009941207612,341.9610279585862,1137.9009941207612,341.9610279585862,5.911896632370619,1.3269668296861366
HalfBath,876.0767590825028,0.0,876.0767590825028,0.0,4.551604461616594,0.0
Id,-870.7945953515402,-0.0,870.7945953515402,0.0,4.524161295529164,0.0
PoolArea,-711.3813916529974,-0.0,711.3813916529974,0.0,3.6959395196715623,0.0
BsmtHalfBath,-518.07142662387,-0.0,518.07142662387,0.0,2.691609145443859,0.0
YrSold,-509.96349965956136,-0.0,509.96349965956136,0.0,2.6494848952995476,0.0
LowQualFinSF,494.20772780720415,-0.0,494.20772780720415,0.0,2.5676267239510606,0.0
BsmtFinSF2,-392.10013823565873,-0.0,392.10013823565873,0.0,2.0371328426323867,0.0
BsmtUnfSF,-318.5196439576522,-0.0,318.5196439576522,0.0,1.6548497805928541,0.0
EnclosedPorch,254.98300296573936,-0.0,254.98300296573936,0.0,1.3247489582427798,0.0
MiscVal,-233.32705037780823,-0.0,233.32705037780823,0.0,1.212236750382119,0.0
OpenPorchSF,-121.99649438668949,0.0,121.99649438668949,0.0,0.6338254980460534,0.0
MoSold,12.758799135842805,-0.0,12.758799135842805,0.0,0.0662875786505177,0.0
